,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
588496,for_sale,24888.0,1.0,1.0,0.1,"114 Mallard Ln, Shohola, PA, 18458",114 Mallard Ln,Shohola,Pennsylvania,600.0,18458
588498,for_sale,265900.0,2.0,1.0,0.72,"1697 Greenville Tpke, Port Jervis, NY, 12771",1697 Greenville Tpke,Port Jervis,New York,1222.0,12771
588499,for_sale,335000.0,4.0,2.0,0.11,"13 Elizabeth St, Port Jervis, NY, 12771",13 Elizabeth St,Port Jervis,New York,2409.0,12771
588500,for_sale,119900.0,2.0,2.0,0.01,"1255 Chateau Dr, East Stroudsburg, PA, 18302",1255 Chateau Dr,East Stroudsburg,Pennsylvania,1782.0,18302
588501,for_sale,409000.0,3.0,2.0,0.68,"110 Spruce Lake Dr, Milford, PA, 18337",110 Spruce Lake Dr,Milford,Pennsylvania,2480.0,18337
588506,for_sale,189900.0,3.0,2.0,0.78,"4105 Chipmunk Ln, East Stroudsburg, PA, 18302",4105 Chipmunk Ln,East Stroudsburg,Pennsylvania,872.0,18302
588525,for_sale,349500.0,3.0,2.0,0.61,"801 Whippletree Ct W, Lords Valley, PA, 18428",801 Whippletree Ct W,Lords Valley,Pennsylvania,2452.0,18428
588528,for_sale,404900.0,3.0,3.0,1.03,"177 Crocus Ln, Milford, PA, 18337",177 Crocus Ln,Milford,Pennsylvania,2744.0,18337
588529,for_sale,3500000.0,7.0,7.0,6.45,"312 Chapin Trl, Bethel, NY, 12720",312 Chapin Trl,Bethel,New York,5648.0,12720
588530,for_sale,595000.0,3.0,5.0,2.07,"226 Remuda Dr, Lords Valley, PA, 18428",226 Remuda Dr,Lords Valley,Pennsylvania,4482.0,18428
588533,for_sale,249999.0,3.0,2.0,0.19,"900 Avenue H, Matamoras, PA, 18336",900 Avenue H,Matamoras,Pennsylvania,3664.0,18336
588534,for_sale,165000.0,2.0,1.0,0.17,"2 W Oakland Dr, Smallwood, NY, 12778",2 W Oakland Dr,Smallwood,New York,1133.0,12778
